id,title,town,state,usage_type,status,operator,connection_types,power_kw,quantity,lat,lon,usage_simple,status_simple,is_fast,state_abbrev
190677,Broken Hill [NRMA],Broken Hill,New South Wales,Public,Operational,NRMA,"CCS (Type 2), CHAdeMO",50.0,2.0,-31.959754641960238,141.45961530379066,public,operational,True,NSW
190676,Mildura [NRMA],Mildura,Victoria,Public,Operational,NRMA,"CCS (Type 2), CHAdeMO",150.0,4.0,-34.188998,142.162212,public,operational,True,VIC
190675,Berri [NRMA],Berri,South Australia,Public,Operational,NRMA,"CCS (Type 2), CHAdeMO",50.0,2.0,-34.285689864254955,140.60355285882747,public,operational,True,SA
190674,Tanunda [NRMA],Tanunda,South Australia,Public - Membership Required,Operational,NRMA,"CCS (Type 2), CHAdeMO",50.0,2.0,-34.5246854548199,138.95804140891113,public,operational,True,SA
190671,Balranald [NRMA],Balranald,New South Wales,Public - Membership Required,Operational,NRMA,"CCS (Type 2), CHAdeMO",50.0,2.0,-34.639493379894546,143.56448828860727,public,operational,True,NSW
190670,Hay [NRMA],Hay,NSW,Public,Operational,NRMA,"CCS (Type 2), CHAdeMO",50.0,2.0,-34.50867857950999,144.84290661775623,public,operational,True,NSW
190669,West Wyalong [NRMA],West Wyalong, NSW,Public,Operational,NRMA,"CCS (Type 2), CHAdeMO",50.0,2.0,-33.92362578966908,147.2036629768271,public,operational,True,NSW
190668,Temora Council Chambers,Temora,New South Wales,Public - Membership Required,Operational,NRMA,"CCS (Type 2), CHAdeMO",50.0,2.0,-34.44602848720433,147.534391219815,public,operational,True,NSW
190620,RAC Esperance Holiday Park,Esperance ,WA,Public - Membership Required,Operational,Chargefox,Type 2 (Socket Only),22.0,2.0,-33.846123629542156,121.901810358881,public,operational,False,WA
190502,Silos estate,Jaspers Brush,New South Wales,Public,Operational,(Unknown Operator),Type 2 (Tethered Connector) ,22.0,2.0,-34.80770297678462,150.63696170662024,public,operational,False,NSW
190500,Cross Street Carpark [NRMA],Wagga Wagga,,Public - Membership Required,Operational,NRMA,"CCS (Type 2), CHAdeMO",50.0,2.0,-35.10849079265241,147.37380421671998,public,operational,True,UNK
190498,Bailey's Garage,Gunning,NSW,Public,Operational,(Unknown Operator),"Type 2 (Socket Only), Type I (AS 3112)",7.2,3.0,-34.78231983827835,149.26678626597408,public,operational,False,NSW
190492,The lodge at Little Rock,Merredin,Western Australia,"Private - For Staff, Visitors or Customers",Operational,(Unknown Operator),Type 2 (Socket Only),7.0,1.0,-31.48695074092305,118.25987173215276,private,operational,False,WA
190487,BP Truckstop Merredin,Merredin,Western Australia,Public - Membership Required,Not Operational,Chargefox,"CCS (Type 2), CHAdeMO",24.0,2.0,-31.482755542949874,118.26874281054063,public,operational,False,WA
190474,Millbrook Winery,Jarrahdale,Western Australia,"Private - For Staff, Visitors or Customers",Operational,(Unknown Operator),"Three Phase 5-Pin (AS/NZ 3123), Type I (AS 3112)",14.4,12.0,-32.349268426066345,116.04988295662383,private,operational,False,WA
190473,Narrogin Hotel,Narrogin,Western Australia,"Private - For Staff, Visitors or Customers",Operational,(Unknown Operator),"Three Phase 5-Pin (AS/NZ 3123), Type I (AS 3112)",7.0,2.0,-32.93603653516006,117.16741450537256,private,operational,False,WA
