UCL_CODE_2021,name,area_sqkm,population,lat,lon,state,chargers_5km,chargers_10km,chargers_20km
114006,Corowa - Wahgunyah (Corowa Part),24.962,5444,-36.00690489088124,146.37283306431445,Unspecified,0,0,0
114007,Cowra,23.8754,8254,-33.838584040514654,148.67270688563258,Unspecified,2,2,2
114008,Deniliquin,35.3535,6431,-35.54308059358335,144.95492722610945,Unspecified,1,1,1
114009,Estella,8.9939,6782,-35.06779925462161,147.35382453995092,Unspecified,1,3,3
114010,Forbes,22.6071,6837,-33.38475334561207,148.00646542160823,Unspecified,0,0,0
114011,Glen Innes,10.123,5184,-29.73715813488084,151.73071021633436,Unspecified,1,1,1
114012,Googong,6.9164,6224,-35.428050548734454,149.23418387326993,Unspecified,0,0,14
114013,Gunnedah,33.352,8338,-30.96581629877565,150.24042298653464,Unspecified,1,1,1
114014,Helensburgh,4.4292,6304,-34.18736702612699,150.9902959636846,Unspecified,0,0,4
114015,Inverell,19.9113,9654,-29.78144829033769,151.11402367137066,Unspecified,1,1,1
114016,Leeton,13.1093,7437,-34.55140104626915,146.4055337160381,Unspecified,0,0,0
114017,Lennox Head,6.0278,7483,-28.80299361726321,153.5897221536329,Unspecified,0,3,7
114018,Merimbula,22.6365,8220,-36.886012348307226,149.90961576245553,Unspecified,1,1,2
114019,Moree,18.8279,7070,-29.47786785557407,149.84106106697888,Unspecified,0,0,0
114020,Moss Vale,13.5625,8774,-34.549447928791416,150.3819728316901,Unspecified,0,0,4
114021,Murwillumbah,26.3283,9812,-28.332690241391187,153.40472568445395,Unspecified,0,0,1
114022,Nambucca Heads,13.6229,6668,-30.654430031184003,152.9889478469243,Unspecified,1,3,3
114023,Narrabri,18.1258,5499,-30.330124428897484,149.77455382318576,Unspecified,0,0,0
114024,Parkes,17.1642,9832,-33.14102936715009,148.17637908228755,Unspecified,1,1,1
114025,Pottsville,8.9595,7209,-28.37814686338909,153.5610645798255,Unspecified,0,1,1
114026,Richmond North,5.3625,5467,-33.583598478395885,150.706173635487,Unspecified,0,0,1
114027,Salamander Bay - Soldiers Point,5.5698,5605,-32.72434054600119,152.07574021316296,Unspecified,1,1,2
114028,Scone,11.0081,5013,-32.04350361533668,150.85827097075858,Unspecified,1,1,1
114029,Silverdale - Warragamba,6.1537,5364,-33.90028763192335,150.6117553161873,Unspecified,0,0,7
114030,South West Rocks,12.7605,5443,-30.896999055437785,153.0526908979116,Unspecified,0,0,0
114031,Summerland Point - Gwandalan,7.0648,6492,-33.13713578907249,151.5753122246509,Unspecified,0,1,2
114032,Tahmoor,4.6536,5014,-34.219690052023964,150.59367020656586,Unspecified,0,3,3
114033,Tumut,12.0833,6518,-35.309250318586344,148.2194582641466,Unspecified,0,0,0
114034,Wauchope,24.193,7982,-31.465272959597225,152.72752901320675,Unspecified,0,3,5
114035,Woolgoolga,9.1019,5797,-30.114996634272817,153.1919659107722,Unspecified,0,0,2
114036,Yamba,8.8924,6342,-29.43319417668782,153.33874673416534,Unspecified,0,1,2
114037,Yass,8.1577,5837,-34.83820106861124,148.91319506121738,Unspecified,4,4,5
114038,Young,11.4838,7712,-34.31972328494332,148.297291020681,Unspecified,1,1,1
115001,Aberdeen,4.6827,1872,-32.1678493946403,150.8934536655002,Unspecified,0,0,1
115002,Anna Bay - Boat Harbour,5.965,4241,-32.781443632123235,152.10167163100203,Unspecified,0,1,2
115003,Appin,2.7104,2869,-34.20192996250855,150.78943765481134,Unspecified,0,0,7
115004,Arrawarra,7.2412,1820,-30.06521465520417,153.19397081223977,Unspecified,0,0,1
115005,Balranald,3.5294,1063,-34.635763571123086,143.55873362199875,Unspecified,1,1,1
115006,Bangalow,1.8485,2260,-28.68578021806881,153.5240161720514,Unspecified,1,4,7
115007,Bargo,4.4939,3314,-34.289117256334194,150.57652510519887,Unspecified,0,2,3
115008,Barham - Koondrook (Barham Part),4.224,1134,-35.623459224572535,144.13188763321438,Unspecified,0,0,0
115009,Barooga,5.6934,1752,-35.90621758551666,145.69133294840077,Unspecified,0,0,0
115010,Barraba,2.6989,1035,-30.384045240649726,150.6067578808885,Unspecified,0,0,0
115011,Basin View,3.8768,1583,-35.08764197010913,150.56196619838474,Unspecified,0,0,0
115012,Batlow,2.8616,1022,-35.52049324692028,148.14660077508444,Unspecified,0,0,0
115013,Bega,6.7675,4368,-36.6796020373496,149.83815851761153,Unspecified,1,1,1
115014,Bellingen,3.6139,3201,-30.45178577550765,152.8993313474716,Unspecified,0,0,0
115015,Bermagui,9.2223,1798,-36.43201279509539,150.06317521909065,Unspecified,0,0,1
115016,Berridale,2.2642,1030,-36.368305164757466,148.83062986568032,Unspecified,0,0,1
115017,Berry,3.0097,2467,-34.7735450607839,150.68550538922543,Unspecified,1,3,4
115018,Bingara,3.9256,1028,-29.870020278379624,150.56565561130978,Unspecified,0,0,0
115019,Blackheath,15.9555,4479,-33.62587887203845,150.29546774119717,Unspecified,0,1,3
115020,Blayney,5.3696,2997,-33.52959116383314,149.25048291216766,Unspecified,0,0,0
115021,Bombala,5.1846,1136,-36.90978468331197,149.23839220760087,Unspecified,0,0,0
115022,Bonny Hills,2.7491,2825,-31.58830878488268,152.83757469147534,Unspecified,0,0,5
115023,Boorowa,6.0795,1402,-34.44437792013104,148.72052210763275,Unspecified,1,1,1
115024,Bourke,6.5338,1535,-30.09272132560117,145.93707064524068,Unspecified,1,1,1
115025,Bowen Mountain,0.9065,1498,-33.57589472459059,150.62526963623947,Unspecified,0,0,2
115026,Braidwood,4.8704,1414,-35.44151517672167,149.7947010708286,Unspecified,0,0,0
115027,Branxton,3.7413,2878,-32.656534805418055,151.35577931033208,Unspecified,0,0,1
115028,Broulee - Mossy Point,5.7405,2502,-35.84259319714912,150.17513329128033,Unspecified,0,0,4
115029,Brunswick Heads,4.0461,1686,-28.553049860622217,153.54772143247584,Unspecified,1,3,5
115030,Bulahdelah,2.5821,1163,-32.40657640106961,152.2083898541173,Unspecified,0,0,0
115031,Bundanoon,9.6503,2642,-34.65810396047496,150.29756545495007,Unspecified,0,2,2
115032,Bundeena,1.1786,2103,-34.08545479080741,151.15168552131547,Unspecified,0,3,10
115033,Bungendore,5.0679,3935,-35.25244528342502,149.4425179854419,Unspecified,1,1,1
115034,Buxton (NSW),1.588,1741,-34.25763064038748,150.53219617614113,Unspecified,0,0,3
115035,Calala,3.2268,3930,-31.13301697303529,150.94963121496122,Unspecified,1,2,2
115036,Callala Bay,5.072,3076,-35.00712931878768,150.70259139224925,Unspecified,0,0,0
115037,Cambewarra Village,0.995,1211,-34.82249532064746,150.55874974406078,Unspecified,1,3,4
115038,Canowindra,4.204,1451,-33.56257980205314,148.66511870111128,Unspecified,0,0,0
115039,Cobar,9.5893,3369,-31.49926775945584,145.83614388179524,Unspecified,1,1,1
